date,indicator,value
01/07/1991,originalwert_in_1000,3557
01/07/1991,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.1
01/10/1991,originalwert_in_1000,3564
01/10/1991,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/01/1992,originalwert_in_1000,3603
01/01/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,1.1
01/01/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.9
01/01/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3589
01/04/1992,originalwert_in_1000,3600
01/04/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.1
01/04/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.1
01/04/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3601
01/07/1992,originalwert_in_1000,3618
01/07/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,0.5
01/07/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.7
01/07/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3615
01/10/1992,originalwert_in_1000,3612
01/10/1992,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.2
01/10/1992,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.3
01/10/1992,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3628
01/01/1993,originalwert_in_1000,3656
01/01/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,1.2
01/01/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.5
01/01/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3643
01/04/1993,originalwert_in_1000,3656
01/04/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,0.0
01/04/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/04/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3658
01/07/1993,originalwert_in_1000,3678
01/07/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,0.6
01/07/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.7
01/07/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3675
01/10/1993,originalwert_in_1000,3683
01/10/1993,originalwert_veraenderung_gegenueber_vorquartal_in_,0.1
01/10/1993,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.0
01/10/1993,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3696
01/01/1994,originalwert_in_1000,3732
01/01/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,1.3
01/01/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.1
01/01/1994,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3721
01/04/1994,originalwert_in_1000,3739
01/04/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,0.2
01/04/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.3
01/04/1994,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3740
01/07/1994,originalwert_in_1000,3759
01/07/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,0.5
01/07/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.2
01/07/1994,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3757
01/10/1994,originalwert_in_1000,3756
01/10/1994,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.1
01/10/1994,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,2.0
01/10/1994,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3769
01/01/1995,originalwert_in_1000,3790
01/01/1995,originalwert_veraenderung_gegenueber_vorquartal_in_,0.9
01/01/1995,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/01/1995,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3779
01/04/1995,originalwert_in_1000,3788
01/04/1995,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.1
01/04/1995,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.3
01/04/1995,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3790
01/07/1995,originalwert_in_1000,3805
01/07/1995,originalwert_veraenderung_gegenueber_vorquartal_in_,0.4
01/07/1995,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.2
01/07/1995,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3802
01/10/1995,originalwert_in_1000,3804
01/10/1995,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.0
01/10/1995,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.3
01/10/1995,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3817
01/01/1996,originalwert_in_1000,3843
01/01/1996,originalwert_veraenderung_gegenueber_vorquartal_in_,1.0
01/01/1996,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.4
01/01/1996,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3832
01/04/1996,originalwert_in_1000,3846
01/04/1996,originalwert_veraenderung_gegenueber_vorquartal_in_,0.1
01/04/1996,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.5
01/04/1996,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3849
01/07/1996,originalwert_in_1000,3867
01/07/1996,originalwert_veraenderung_gegenueber_vorquartal_in_,0.5
01/07/1996,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/07/1996,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3863
01/10/1996,originalwert_in_1000,3868
01/10/1996,originalwert_veraenderung_gegenueber_vorquartal_in_,0.0
01/10/1996,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.7
01/10/1996,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3879
01/01/1997,originalwert_in_1000,3903
01/01/1997,originalwert_veraenderung_gegenueber_vorquartal_in_,0.9
01/01/1997,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/01/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3893
01/04/1997,originalwert_in_1000,3906
01/04/1997,originalwert_veraenderung_gegenueber_vorquartal_in_,0.1
01/04/1997,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.6
01/04/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3908
01/07/1997,originalwert_in_1000,3926
01/07/1997,originalwert_veraenderung_gegenueber_vorquartal_in_,0.5
01/07/1997,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.5
01/07/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3923
01/10/1997,originalwert_in_1000,3925
01/10/1997,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.0
01/10/1997,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.5
01/10/1997,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3935
01/01/1998,originalwert_in_1000,3956
01/01/1998,originalwert_veraenderung_gegenueber_vorquartal_in_,0.8
01/01/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.4
01/01/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3948
01/04/1998,originalwert_in_1000,3957
01/04/1998,originalwert_veraenderung_gegenueber_vorquartal_in_,0.0
01/04/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.3
01/04/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3959
01/07/1998,originalwert_in_1000,3971
01/07/1998,originalwert_veraenderung_gegenueber_vorquartal_in_,0.4
01/07/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.1
01/07/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3968
01/10/1998,originalwert_in_1000,3967
01/10/1998,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.1
01/10/1998,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,1.1
01/10/1998,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3976
01/01/1999,originalwert_in_1000,3991
01/01/1999,originalwert_veraenderung_gegenueber_vorquartal_in_,0.6
01/01/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.9
01/01/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3983
01/04/1999,originalwert_in_1000,3987
01/04/1999,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.1
01/04/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.8
01/04/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3989
01/07/1999,originalwert_in_1000,3998
01/07/1999,originalwert_veraenderung_gegenueber_vorquartal_in_,0.3
01/07/1999,originalwert_veraenderung_gegenueber_vorjahresquartal_in_,0.7
01/07/1999,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_in_1000,3995
01/10/1999,originalwert_in_1000,3991
01/10/1999,originalwert_veraenderung_gegenueber_vorquartal_in_,-0.2
